Source,Title,Author,Type,Themes,Tones,Avg Rating,Pages,Year,Date Added,Similar To,BBRE Score,Why Youd Like It,Why You Might Not,Keep (Y/N/Maybe)
to-read,Good Material,Dolly Alderton,fiction,"literary, romance, contemporary","character-driven, slow-burn, atmospheric, heartwarming",3.7,319,2024,2024/12/08,"One Day, Romantic Comedy, David Nicholls",51,"Rich character work and atmospheric prose. If you like David Nicholls, this hits the same notes.",Modest rating (3.7/5). Slow-burn pacing — not a fast thriller.,
to-read,The Wedding People,Alison Espach,fiction,"literary, humor, contemporary","character-driven, slow-burn, atmospheric, humorous",3.9,367,2024,2024/12/05,"Romantic Comedy, One Day, Curtis Sittenfeld",51,"Rich character work and atmospheric prose. If you like Curtis Sittenfeld, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Atonement,Ian McEwan,fiction,"literary, historical, psychological","slow-burn, character-driven, atmospheric, dark",3.9,351,2003,2024/08/14,"The Great Alone, Where the Crawdads Sing, Kristin Hannah",51,"Atmospheric thriller. If you like Kristin Hannah, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Fire Weather: A True Story from a Hotter World,John Vaillant,nonfiction,"narrative nonfiction, history, adventure","narrative-driven, fast-paced, accessible, dense",4.2,432,2023,2024/05/08,"Paradise: One Town's Struggle to Survive an American Wildfire, Into Thin Air, Lizzie Johnson",51,"Narrative nonfiction — reads like a novel about history. If you like Lizzie Johnson, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"Class: A Memoir of Motherhood, Hunger, and Higher Education",Stephanie Land,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.9,288,2023,2023/07/01,"Maid: Hard Work, Low Pay, and a Mother's Will to Survive, Educated, Tara Westover",51,"Personal, candid memoir. If you like Tara Westover, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,The Last Chance Lawyer (Daniel Pike #1),William Bernhardt,fiction,"legal, thriller, courtroom","fast-paced, procedural, tense, plot-driven",4.2,482,2019,2023/05/31,"A Time to Kill (Jake Brigance, #1), Presumed Innocent, John Grisham",51,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Battle for Your Brain: Defending the Right to Think Freely in the Age of Neurotechnology,Nita A. Farahany,nonfiction,"narrative nonfiction, tech history, psychology","accessible, narrative-driven, dense",3.8,288,2023,2023/05/22,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race, The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution, Walter Isaacson",51,"Narrative nonfiction — reads like a novel about tech history. If you like Walter Isaacson, this hits the same notes.",Modest rating (3.8/5).,
to-read,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,nonfiction,"psychology, narrative nonfiction, tech history","accessible, narrative-driven, dense",3.8,357,2022,2022/12/03,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed, The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution, Lori Gottlieb",51,"Narrative nonfiction — reads like a novel about psychology. If you like Lori Gottlieb, this hits the same notes.",Modest rating (3.8/5).,
candidate pool,All the Colors of the Dark,Chris Whitaker,fiction,"mystery, crime, literary",,4.3,512,2024,,"Sharp Objects, Where the Crawdads Sing, Gillian Flynn",51,"Fast-paced thriller. If you like Gillian Flynn, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,North Woods,Daniel Mason,fiction,"literary, mystery",,3.9,352,2023,,"Where the Crawdads Sing, Remarkably Bright Creatures, Liz Moore",51,"Fast-paced thriller. If you like Liz Moore, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,fiction,"speculative, adventure, literary","fast-paced, humorous, character-driven, twisty",4.3,752,2024,2025/10/17,"Dark Matter, Recursion, Blake Crouch",50,"Inventive speculative premise. If you like Blake Crouch, this hits the same notes.",Long commitment at 752 pages.,
to-read,Twice,Mitch Albom,fiction,"speculative, literary, philosophical","slow-burn, character-driven, atmospheric, dense",4.1,320,2025,2025/10/02,"The Midnight Library (The Midnight World, #1), The Invisible Life of Addie LaRue, Matt Haig",50,"Inventive speculative premise. If you like Matt Haig, this hits the same notes.","Slow-burn pacing — not a fast thriller. Dense, academic-leaning tone.",
to-read,Remain,Nicholas Sparks,fiction,"romance, literary, contemporary","character-driven, slow-burn, atmospheric, heartwarming",3.9,335,2025,2025/10/02,"One Day, The Statistical Probability of Love at First Sight, David Nicholls",50,"Rich character work and atmospheric prose. If you like David Nicholls, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Everyday Millionaires,Chris Hogan,nonfiction,"finance, business, narrative nonfiction","accessible, narrative-driven, dense",4.3,272,2019,2021/12/25,"Shoe Dog, Flash Boys: A Wall Street Revolt, Phil Knight",50,"Narrative nonfiction — reads like a novel about finance. If you like Phil Knight, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,Several People Are Typing,Calvin Kasulke,fiction,speculative,,3.64,256,2021,,"Upgrade, Clusterf*ck, Chuck Klosterman",50,"Inventive speculative premise. If you like Chuck Klosterman, this hits the same notes.",Below-average community rating (3.64/5) — may underdeliver.,
to-read,Yesteryear,Caro Claire Burke,fiction,"literary, historical","atmospheric, melancholic, slow-burn",3.9,400,2026,2026/03/18,"The Invisible Life of Addie LaRue, The Seven Husbands of Evelyn Hugo, Taylor Jenkins Reid",49,"Rich character work and atmospheric prose. If you like Taylor Jenkins Reid, this hits the same notes.",Slow-burn pacing — not a fast thriller.,
to-read,The Everything War: Amazon's Ruthless Quest to Own the World and Remake Corporate Power,Dana Mattioli,nonfiction,"tech history, business, narrative nonfiction","investigative, dark, revelatory",3.9,393,2024,2026/03/06,"The Everything Store: Jeff Bezos and the Age of Amazon, Amazon Unbound: Jeff Bezos and the Invention of a Global Empire, Brad Stone",49,"Narrative nonfiction — reads like a novel about tech history. If you like Brad Stone, this hits the same notes.",Dark or heavy subject matter.,
to-read,"American Sketches: Great Leaders, Creative Thinkers, and Heroes of a Hurricane",Walter Isaacson,nonfiction,"biography, history, narrative nonfiction","accessible, narrative-driven, inspiring, character-study",3.9,304,2009,2026/01/24,"Steve Jobs, Elon Musk, Brad Stone",49,"In-depth biography. If you like Brad Stone, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Burn Book: A Tech Love Story,Kara Swisher,nonfiction,"tech history, biography, narrative nonfiction","narrative-driven, accessible, character-study",3.9,305,2024,2025/09/26,"Super Pumped: The Battle for Uber, The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal, Mike Isaac",49,"In-depth biography. If you like Mike Isaac, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"12 Months to Live (Jane Smith, #1)",James Patterson,fiction,"thriller, suspense, legal","fast-paced, tense, procedural",3.9,400,2023,2025/09/20,"Along Came a Spider (Alex Cross, #1), The Jailhouse Lawyer, John Grisham",49,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"Inside the Cartel: How an Undercover FBI Agent Smuggled Cocaine, Laundered Cash, and Dismantled a Colombian Narco-Empire",Martin Suarez,nonfiction,"true crime, narrative nonfiction, investigative journalism","investigative, dark, immersive-journalism, narrative-driven",3.9,304,2025,2025/08/27,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Nick Bilton",49,"Gripping true crime narrative. If you like Nick Bilton, this hits the same notes.",Dark or heavy subject matter.,
to-read,Paper Girl: A Memoir of Home and Family in a Fractured America,Beth Macy,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.8,368,2025,2025/08/14,"Educated, Maid: Hard Work, Low Pay, and a Mother's Will to Survive, Tara Westover",49,"Personal, candid memoir. If you like Tara Westover, this hits the same notes.",Modest rating (3.8/5).,
to-read,Pearl Harbor: Warning and Decision,Roberta Wohlstetter,nonfiction,"military, history, narrative nonfiction","narrative-driven, gritty, accessible, dense",4.1,446,1962,2025/06/22,"The Arsenal of Democracy: FDR, Detroit, and an Epic Quest to Arm an America at War, Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, A.J. Baime",49,"Narrative nonfiction — reads like a novel about military. If you like A.J. Baime, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"Ark (Forward Collection, #1)",Veronica Roth,fiction,"sci-fi, speculative","fast-paced, tense, dark",3.8,45,2019,2025/04/09,"Project Hail Mary, The Martian, Andy Weir",49,"Inventive speculative premise. If you like Andy Weir, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,The Book of Dog: A Satire,D.J. Molles,fiction,"speculative, literary, humor","slow-burn, atmospheric, character-driven, humorous",3.8,361,2023,2024/08/12,"World War Z: An Oral History of the Zombie War, The Postmortal, Max Brooks",49,"Inventive speculative premise. If you like Max Brooks, this hits the same notes.",Modest rating (3.8/5). Slow-burn pacing — not a fast thriller.,
to-read,Trust,Hernan Diaz,fiction,"literary, historical","slow-burn, atmospheric, character-driven",3.8,402,2022,2023/08/31,"Tomorrow, and Tomorrow, and Tomorrow, The Invisible Life of Addie LaRue, Gabrielle Zevin",49,"Rich character work and atmospheric prose. If you like Gabrielle Zevin, this hits the same notes.",Modest rating (3.8/5). Slow-burn pacing — not a fast thriller.,
candidate pool,Blood Defense,Marcia Clark,fiction,"thriller, legal, courtroom",,3.85,368,2016,,"Presumed Innocent, A Time to Kill (Jake Brigance, #1), John Grisham",49,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",Modest rating (3.85/5). Mixed reader reactions.,
candidate pool,The Good Daughter,Karin Slaughter,fiction,"thriller, legal, psychological, suspense",,4.06,528,2017,,"Sharp Objects, Dark Places, John Grisham",49,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,In the Woods,Tana French,fiction,"mystery, thriller, psychological",,4.0,429,2007,,"Dark Places, Sharp Objects, Gillian Flynn",49,"Fast-paced thriller. If you like Gillian Flynn, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,In Cold Blood,Truman Capote,nonfiction,"crime, narrative nonfiction, history",,4.1,343,1966,,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession, American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, David Grann",49,"Narrative nonfiction with a propulsive story. If you like David Grann, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Parks and Rec: The Underdog TV Show That Lit'rally Inspired a Vision for a Better America,Jennifer Keishin Armstrong,nonfiction,"narrative nonfiction, humor","fast-paced, tense, dark",4,301,2026,2025/11/06,"I Wear the Black Hat: Grappling with Villains (Real and Imagined), Yearbook, Chuck Klosterman",48,"Narrative nonfiction — reads like a novel about humor. If you like Chuck Klosterman, this hits the same notes.",Dark or heavy subject matter.,
to-read,Oddbody,Rose Keating,fiction,"speculative, thriller, horror","atmospheric, fast-paced, slow-burn, dark",3.8,208,2025,2025/09/10,"The Echo Wife, Recursion, Blake Crouch",48,"Atmospheric thriller. If you like Blake Crouch, this hits the same notes.",Modest rating (3.8/5). Dark or heavy subject matter.,
to-read,The Life of Chuck,Stephen King,fiction,"literary, speculative","atmospheric, dark, character-driven, slow-burn",4.1,128,2025,2025/07/04,"The Outsider, Billy Summers, Blake Crouch",48,"Inventive speculative premise. If you like Blake Crouch, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Accidentally on Purpose,Kristen Kish,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.9,352,2025,2025/05/03,"Eat a Peach, Yes, Chef, David Chang",48,"Personal, candid memoir. If you like David Chang, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,How I Killed Pluto and Why It Had It Coming,Mike Brown,nonfiction,"narrative nonfiction, science","accessible, narrative-driven, dense",4.1,267,2010,2025/04/28,"When the Heavens Went on Sale: The Misfits and Geniuses Racing to Put Space Within Reach, The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race, Ashlee Vance",48,"Narrative nonfiction — reads like a novel about science. If you like Ashlee Vance, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"The Tycoons: How Andrew Carnegie, John D. Rockefeller, Jay Gould and J.P. Morgan Invented the American Supereconomy",Charles R. Morris,nonfiction,"business, history, biography","narrative-driven, character-study, accessible, dense",3.8,400,2006,2025/03/24,"The Everything Store: Jeff Bezos and the Age of Amazon, Steve Jobs, Brad Stone",48,"In-depth biography. If you like Brad Stone, this hits the same notes.",Modest rating (3.8/5). Nonfiction with dense material — requires focus.,
to-read,Legends and Soles: The Memoir of an American Original,Sonny Vaccaro; Armen Keteyian,nonfiction,"sports, biography, memoir","character-study, narrative-driven, accessible, personal",4.1,304,2025,2025/03/05,"Shoe Dog, The Last Folk Hero: The Life and Myth of Bo Jackson, Phil Knight",48,"Personal, candid memoir. If you like Phil Knight, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Rejection,Tony Tulathimutte,fiction,"literary, contemporary","character-driven, slow-burn, atmospheric",3.5,272,2024,2024/11/01,"Tomorrow, and Tomorrow, and Tomorrow, Lake Success, Gabrielle Zevin",48,"Rich character work and atmospheric prose. If you like Gabrielle Zevin, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,"Rescued (Andy Carpenter, #17)",David Rosenfelt,fiction,"legal, mystery, thriller","fast-paced, procedural, whodunit, tense",4.2,304,2018,2024/06/05,"A Time to Kill (Jake Brigance, #1), The Silent Patient, John Grisham",48,"Fast-paced mystery. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Drift,C.J. Tudor,fiction,"thriller, speculative, adventure",,3.67,368,2023,,"The Institute, Dark Matter, Stephen King",48,"Fast-paced thriller. If you like Stephen King, this hits the same notes.",Below-average community rating (3.67/5) — may underdeliver.,
candidate pool,The Kaiju Preservation Society,John Scalzi,fiction,"speculative, adventure",,3.92,272,2022,,"Project Hail Mary, Upgrade, Andy Weir",48,"Inventive speculative premise. If you like Andy Weir, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Last One at the Wedding,Jason Rekulak,fiction,"thriller, mystery, suspense","fast-paced, tense, procedural, whodunit",3.9,338,2024,2024/11/04,"The Guest List, The Silent Patient, Lucy Foley",47,"Fast-paced thriller. If you like Lucy Foley, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Wright Brothers,David McCullough,nonfiction,"history, biography, narrative nonfiction","narrative-driven, character-study, accessible, dense",4.1,320,2015,2024/05/09,"The Arsenal of Democracy: FDR, Detroit, and an Epic Quest to Arm an America at War, The Accidental President: Harry S. Truman and the Four Months That Changed the World, A.J. Baime",47,"In-depth biography. If you like A.J. Baime, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,On Earth as It Is on Television,Emily Jane,fiction,"speculative, literary, humor","slow-burn, atmospheric, character-driven, humorous",3.5,380,2024,2024/03/24,"The Postmortal, World War Z: An Oral History of the Zombie War, Drew Magary",47,"Inventive speculative premise. If you like Drew Magary, this hits the same notes.",Below-average community rating (3.5/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,Flying Blind: The 737 MAX Tragedy and the Fall of Boeing,Peter Robison,nonfiction,"narrative nonfiction, business, tech history","investigative, dark, revelatory, immersive-journalism",4.2,336,2021,2024/03/18,"Super Pumped: The Battle for Uber, The Big Short: Inside the Doomsday Machine, Mike Isaac",47,"Narrative nonfiction — reads like a novel about business. If you like Mike Isaac, this hits the same notes.",Dark or heavy subject matter.,
to-read,"John Dies at the End (John Dies at the End, #1)",David Wong,fiction,"speculative, horror, humor","atmospheric, slow-burn, dark, disturbing",3.9,362,2007,2021/09/28,"World War Z: An Oral History of the Zombie War, The Postmortal, Max Brooks",47,"Inventive speculative premise. If you like Max Brooks, this hits the same notes.",Slow-burn pacing — not a fast thriller. Dark or heavy subject matter.,
candidate pool,Suspect,Scott Turow,fiction,"thriller, legal, crime, political, courtroom",,3.8,439,2022,,"Presumed Innocent, The Firm (The Firm, #1), John Grisham",47,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",Modest rating (3.8/5). Mixed reader reactions.,
candidate pool,Catch and Kill,Ronan Farrow,nonfiction,"true crime, narrative nonfiction, social commentary",,4.3,448,2019,,"American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Going Infinite: The Rise and Fall of a New Tycoon, John Carreyrou",47,"Gripping true crime narrative. If you like John Carreyrou, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Divorce,Freida McFadden,fiction,"thriller, psychological, suspense","fast-paced, twisty, dark",4,368,2026,2026/04/02,"Never Lie, The Teacher, B.A. Paris",46,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Dark or heavy subject matter.,
to-read,A/S/L,Jeanne Thornton,fiction,"literary, coming-of-age","character-driven, slow-burn, atmospheric, heartwarming",3.6,496,2025,2025/09/10,"Tomorrow, and Tomorrow, and Tomorrow, Paper Towns, Gabrielle Zevin",46,"Rich character work and atmospheric prose. If you like Gabrielle Zevin, this hits the same notes.",Below-average community rating (3.6/5) — may underdeliver. Slow-burn pacing — not a fast thriller.,
to-read,Big Dumb Eyes: Stories from a Simpler Mind,Nate Bargatze,nonfiction,"humor, memoir, narrative nonfiction","conversational, character-study, humorous, narrative-driven",4.1,240,2025,2025/04/09,"Yearbook, A Life in Parts, Seth Rogen",46,"Personal, candid memoir. If you like Seth Rogen, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook",Hampton Sides,nonfiction,"narrative nonfiction, adventure, history","narrative-driven, fast-paced, accessible, dense",4.1,408,2024,2024/12/28,"Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night, The Wager: A Tale of Shipwreck, Mutiny and Murder, David Grann",46,"Narrative nonfiction — reads like a novel about adventure. If you like David Grann, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Cue the Sun! The Invention of Reality TV,Emily Nussbaum,nonfiction,"narrative nonfiction, history","narrative-driven, accessible, dense",3.8,464,2024,2024/05/31,"I Wear the Black Hat: Grappling with Villains (Real and Imagined), Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto, Chuck Klosterman",46,"Narrative nonfiction — reads like a novel about history. If you like Chuck Klosterman, this hits the same notes.",Modest rating (3.8/5).,
to-read,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,nonfiction,"finance, tech history, narrative nonfiction","accessible, narrative-driven, dense",3.9,496,2022,2024/02/22,"The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution, Flash Boys: A Wall Street Revolt, Michael Lewis",46,"Narrative nonfiction — reads like a novel about finance. If you like Michael Lewis, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,The Genome Defense: Inside the Epic Legal Battle to Determine Who Owns Your DNA,Jorge L. Contreras,nonfiction,"legal, narrative nonfiction, science, social commentary","investigative, accessible, narrative-driven",3.9,432,2022,2022/10/14,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race, Presumed Innocent, Walter Isaacson",46,"Narrative nonfiction — reads like a novel about legal. If you like Walter Isaacson, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,The Midnight Feast,Lucy Foley,fiction,"thriller, psychological",,3.9,416,2024,,"The Guest List, The Silent Patient, B.A. Paris",46,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,House of Correction,Nicci French,fiction,"thriller, psychological, crime, courtroom",,3.81,528,2020,,"The Silent Patient, Presumed Innocent, Clare Mackintosh",46,"Fast-paced thriller. If you like Clare Mackintosh, this hits the same notes.",Modest rating (3.81/5). Mixed reader reactions.,
candidate pool,The Feather Thief,Kirk Wallace Johnson,nonfiction,true crime,,4.0,308,2018,,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession, American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, David Grann",46,"Gripping true crime narrative. If you like David Grann, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Amazing Adventures of Cavalier & Clay,Michael Chabon,fiction,"literary, historical, coming-of-age","slow-burn, character-driven, atmospheric, heartwarming",4,636,2000,2025/11/05,"The Invisible Life of Addie LaRue, Tomorrow, and Tomorrow, and Tomorrow, Gabrielle Zevin",45,"Rich character work and atmospheric prose. If you like Gabrielle Zevin, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Den of Thieves,James B. Stewart,nonfiction,"finance, true crime, wall street","investigative, fast-paced, dark, accessible",4.1,592,1992,2025/10/16,"The Big Short: Inside the Doomsday Machine, American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Michael Lewis",45,"Gripping true crime narrative. If you like Michael Lewis, this hits the same notes.",Dark or heavy subject matter. Long commitment at 592 pages.,
to-read,English Creek (Montana Trilogy),Ivan Doig,fiction,"historical, literary, coming-of-age","slow-burn, character-driven, atmospheric, heartwarming",4,352,2005,2025/07/24,"The Great Alone, Where the Crawdads Sing, Kristin Hannah",45,"Rich character work and atmospheric prose. If you like Kristin Hannah, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,The Liars' Club,Mary Karr,nonfiction,"memoir, literary, narrative nonfiction","slow-burn, character-driven, character-study, atmospheric",4,352,2005,2023/07/16,"Educated, The Glass Castle, Tara Westover",45,"Personal, candid memoir. If you like Tara Westover, this hits the same notes.",Slow-burn pacing.,
to-read,Wilt: Larger Than Life,Robert Cherry,nonfiction,"sports, biography, narrative nonfiction","narrative-driven, accessible, character-study",4.1,384,2004,2022/12/16,"Dream Team: How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever, Three-Ring Circus: Kobe, Shaq, Phil, and the Crazy Years of the Lakers Dynasty, Jeff Pearlman",45,"In-depth biography. If you like Jeff Pearlman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Ascension,Nicholas Binge,fiction,"sci-fi, speculative, thriller","slow-burn, atmospheric, fast-paced, tense",3.7,344,2023,2023/01/17,"Recursion, Dark Matter, Blake Crouch",45,"Atmospheric thriller. If you like Blake Crouch, this hits the same notes.",Modest rating (3.7/5).,
to-read,The Presidents Club: Inside the World's Most Exclusive Fraternity,Nancy Gibbs,nonfiction,"history, biography, narrative nonfiction","narrative-driven, character-study, accessible, dense",4,641,2012,2023/02/14,"A Promised Land, The Accidental President: Harry S. Truman and the Four Months That Changed the World, Barack Obama",45,"In-depth biography. If you like Barack Obama, this hits the same notes.",Long commitment at 641 pages.,
to-read,The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,nonfiction,"narrative nonfiction, history, military","narrative-driven, gritty, accessible, dense",4.2,546,2005,2021/06/04,"The First Shots: The Epic Rivalries and Heroic Science Behind the Race to the Coronavirus Vaccine, The Accidental President: Harry S. Truman and the Four Months That Changed the World, A.J. Baime",45,"Narrative nonfiction — reads like a novel about history. If you like A.J. Baime, this hits the same notes.",Long commitment at 546 pages.,
to-read,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,nonfiction,"narrative nonfiction, psychology, history","narrative-driven, accessible, dense",4.3,377,2020,2020/06/18,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed, Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Lori Gottlieb",45,"Narrative nonfiction — reads like a novel about psychology. If you like Lori Gottlieb, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,Master Slave Husband Wife: An Epic Journey from Slavery to Freedom,Ilyon Woo,nonfiction,"narrative nonfiction, history",,3.94,416,2023,,"Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, Educated, David Grann",45,"Narrative nonfiction with a propulsive story. If you like David Grann, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Lincoln Lawyer,Michael Connelly,fiction,"thriller, legal, courtroom",,4.2,404,2005,,"The Firm (The Firm, #1), Presumed Innocent, John Grisham",45,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Nightingale,Kristin Hannah,fiction,"history, military, adventure",,4.6,440,2015,,"The Great Alone, Where the Crawdads Sing, Anthony Doerr",45,"Engaging fiction. If you like Anthony Doerr, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Boys in the Boat,Daniel James Brown,nonfiction,"sports, history",,4.4,404,2013,,"The Wager: A Tale of Shipwreck, Mutiny and Murder, Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, Erik Larson",45,"Narrative nonfiction with a propulsive story. If you like Erik Larson, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,Come Undone,Eddie Huang,nonfiction,"memoir, narrative nonfiction","personal, conversational, humorous",3.6,240,2026,2026/05/16,"Eat a Peach, Notes from a Young Black Chef, David Chang",44,"Personal, candid memoir. If you like David Chang, this hits the same notes.",Below-average community rating (3.6/5) — may underdeliver.,
to-read,"The Last Shot: City Streets, Basketball Dreams – A Poignant Biography of Young Athletes, Inner-City Basketball, and the Fight to Escape Poverty",Darcy Frey,nonfiction,"sports, narrative nonfiction","immersive-journalism, dark, melancholic, character-study",4,233,2004,2025/10/04,"Giannis: The Improbable Rise of an NBA MVP, Dream Team: How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever, Jeff Pearlman",44,"Narrative nonfiction — reads like a novel about sports. If you like Jeff Pearlman, this hits the same notes.",Dark or heavy subject matter.,
to-read,I Who Have Never Known Men,Jacqueline Harpman,fiction,"literary, speculative, dystopia","atmospheric, slow-burn, dark, character-driven",4.1,173,2022,2025/07/13,"The Invisible Life of Addie LaRue, The Midnight Library (The Midnight World, #1), V.E. Schwab",44,"Inventive speculative premise. If you like V.E. Schwab, this hits the same notes.",Slow-burn pacing — not a fast thriller. Character-driven literary fiction — light on plot momentum.,
to-read,Heartbreak Is the National Anthem: How Taylor Swift Reinvented Pop Music,Rob Sheffield,nonfiction,"memoir, narrative nonfiction","character-study, narrative-driven, accessible, personal",3.8,208,2024,2024/11/12,"I Wear the Black Hat: Grappling with Villains (Real and Imagined), Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto, Chuck Klosterman",44,"Personal, candid memoir. If you like Chuck Klosterman, this hits the same notes.",Modest rating (3.8/5).,
to-read,Open,Andre Agassi,nonfiction,"sports, memoir, biography","character-study, narrative-driven, accessible, personal",4.3,388,2009,2024/10/03,"Shoe Dog, A Life in Parts, Phil Knight",44,"Personal, candid memoir. If you like Phil Knight, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Exit West,Mohsin Hamid,fiction,"literary, speculative, historical","slow-burn, atmospheric, character-driven",3.8,231,2017,2024/08/15,"The Invisible Life of Addie LaRue, American Dirt, V.E. Schwab",44,"Inventive speculative premise. If you like V.E. Schwab, this hits the same notes.",Modest rating (3.8/5). Slow-burn pacing — not a fast thriller.,
